delta,scoi intent fat4 02,sco flow fat4 02,scoi flow fat4 02,fault count
00:00:00,0.0,0.0,0.0,
00:00:01,0.0,0.0,0.0,1.0
00:00:02,0.0,0.0,0.0,1.0
00:00:03,0.0,0.0,0.0,2.0
00:00:04,0.0,0.0,0.0,2.0
00:00:05,0.0,0.0,0.0,2.0
00:00:06,0.0,0.0,0.0,2.0
00:00:07,0.0,0.0,0.0,2.0
00:00:08,0.0,0.0,0.0,2.0
00:00:09,0.0,0.0,0.0,2.0
00:00:10,0.0,0.0,0.0,2.0
00:00:11,0.0,0.0,0.0,2.0
00:00:12,0.0,0.0,0.0,3.0
00:00:13,0.0,0.0,0.0,3.0
00:00:14,0.0,0.0,0.0,3.0
00:00:15,10.0,0.0,10.0,4.0
00:00:16,0.0,5.42,0.0,5.0
00:00:17,0.0,0.0,0.0,6.0
00:00:18,0.0,0.0,0.0,6.0
00:00:19,0.0,0.0,0.0,7.0
00:00:20,0.0,0.0,0.0,7.0
00:00:21,0.0,0.0,0.0,7.0
00:00:22,6.67,0.0,5.0,8.0
00:00:23,4.17,0.0,6.67,9.0
00:00:24,0.83,0.0,0.83,9.0
00:00:25,0.83,0.0,0.83,9.0
00:00:26,7.5,0.0,1.67,10.0
00:00:27,6.67,2.5,6.67,12.0
00:00:28,1.67,6.67,2.5,12.0
00:00:29,8.33,7.5,8.33,13.0
00:00:30,5.0,13.33,5.0,14.0
00:00:31,12.5,18.33,12.5,16.0
00:00:32,14.17,21.67,14.17,16.0
00:00:33,11.67,21.67,11.67,17.0
00:00:34,8.33,19.58,9.17,17.0
00:00:35,3.33,15.42,3.33,17.0
00:00:36,3.33,17.5,3.33,18.0
00:00:37,2.5,14.17,2.5,18.0
00:00:38,2.5,8.75,2.5,19.0
00:00:39,1.67,5.0,1.67,19.0
00:00:40,0.83,2.5,0.83,19.0
00:00:41,0.0,2.5,0.0,20.0
00:00:42,0.0,1.67,0.0,21.0
00:00:43,0.0,2.5,0.0,21.0
00:00:44,0.0,2.5,0.0,21.0
00:00:45,0.0,2.5,0.0,22.0
00:00:46,0.0,1.67,0.0,22.0
00:00:47,0.0,2.08,0.0,22.0
00:00:48,0.0,5.42,0.0,27.0
00:00:49,15.0,15.0,15.0,28.0
00:00:50,12.5,8.33,12.5,28.0
00:00:51,5.83,8.33,5.83,28.0
00:00:52,5.83,5.83,5.83,29.0
00:00:53,5.83,3.33,5.83,29.0
00:00:54,5.83,0.83,5.83,29.0
00:00:55,5.83,0.83,5.83,29.0
00:00:56,5.83,0.83,5.83,29.0
00:00:57,5.83,0.83,5.83,29.0
00:00:58,0.0,0.83,0.0,31.0
00:00:59,0.0,0.0,0.0,31.0
00:01:00,0.0,0.0,0.0,31.0
00:01:01,0.0,0.0,0.0,31.0
00:01:02,0.0,0.0,0.0,31.0
00:01:03,0.0,0.0,0.0,31.0
00:01:04,0.0,0.0,0.0,31.0
00:01:05,0.0,0.0,0.0,31.0
00:01:06,0.0,2.08,0.0,32.0
00:01:07,4.17,5.0,4.17,32.0
00:01:08,3.33,4.17,3.33,32.0
00:01:09,3.33,0.83,3.33,32.0
00:01:10,1.67,0.83,1.67,33.0
00:01:11,0.0,1.67,0.0,33.0
00:01:12,0.0,0.0,0.0,34.0
00:01:13,0.83,1.67,0.83,35.0
00:01:14,2.5,1.67,2.5,37.0
00:01:15,2.5,1.67,2.5,37.0
00:01:16,0.83,0.83,0.83,37.0
00:01:17,0.83,0.83,0.83,37.0
00:01:18,2.5,3.33,2.5,38.0
00:01:19,2.5,3.33,2.5,38.0
00:01:20,2.5,3.33,2.5,38.0
00:01:21,2.5,3.33,2.5,38.0
00:01:22,5.0,8.75,5.0,39.0
00:01:23,5.0,8.75,5.0,39.0
00:01:24,0.0,8.75,0.0,39.0
00:01:25,0.0,8.75,0.0,39.0
00:01:26,0.0,9.17,0.0,41.0
00:01:27,5.83,15.0,5.83,42.0
00:01:28,0.0,9.17,0.0,42.0
00:01:29,0.0,6.67,0.0,42.0
00:01:30,5.83,12.5,5.83,43.0
00:01:31,5.0,12.92,5.0,43.0
00:01:32,3.33,8.75,3.33,43.0
00:01:33,2.5,5.0,2.5,44.0
00:01:34,0.0,0.83,0.0,44.0
00:01:35,0.0,0.0,0.0,44.0
00:01:36,0.0,0.0,0.0,44.0
00:01:37,0.0,0.0,0.0,45.0
00:01:38,0.0,0.0,0.0,45.0
00:01:39,4.17,5.83,4.17,46.0
00:01:40,4.17,5.83,4.17,46.0
00:01:41,10.83,12.5,10.83,47.0
00:01:42,10.0,11.25,10.0,
00:01:43,10.0,11.25,10.0,
00:01:44,5.0,4.58,6.67,
00:01:45,5.0,4.58,5.0,
00:01:46,0.0,7.08,0.0,
00:01:47,0.0,9.58,0.0,
00:01:48,0.0,7.92,0.0,
00:01:49,0.0,5.0,0.0,
00:01:50,0.0,5.0,0.0,
00:01:51,0.0,5.0,0.0,
00:01:52,,2.5,,
00:01:53,,1.25,,
00:01:54,,0.83,,
00:01:55,,0.83,,
00:01:56,,1.67,,
00:01:57,,2.5,,
00:01:58,,2.5,,
00:01:59,,3.75,,
00:02:00,,3.75,,
00:02:01,,2.5,,
00:02:02,,2.92,,
00:02:03,,1.25,,
00:02:04,,0.42,,
00:02:05,,0.42,,
00:02:06,,63.75,,
00:02:07,,39.17,,
00:02:08,,14.17,,
00:02:09,,14.17,,
00:02:10,,14.17,,
00:02:11,,14.17,,
00:02:12,,14.17,,
00:02:13,,14.17,,
00:02:14,,14.17,,
