delta,sco flow fat4 05,scoi flow fat4 05,scoi intent fat4 05,fault count
00:00:00,0.0,0.0,0.0,
00:00:01,0.0,0.0,0.0,1.0
00:00:02,0.0,0.0,0.0,1.0
00:00:03,0.0,0.0,0.0,1.0
00:00:04,0.0,0.0,0.0,2.0
00:00:05,0.0,0.0,0.0,2.0
00:00:06,0.0,0.0,0.0,2.0
00:00:07,0.0,0.0,0.0,2.0
00:00:08,0.0,0.0,0.0,2.0
00:00:09,0.0,0.0,0.0,2.0
00:00:10,0.0,0.0,0.0,2.0
00:00:11,0.0,0.0,0.0,2.0
00:00:12,0.0,0.0,0.0,2.0
00:00:13,0.0,0.0,0.0,2.0
00:00:14,0.0,0.0,0.0,2.0
00:00:15,0.0,0.0,0.0,3.0
00:00:16,0.0,0.0,0.0,3.0
00:00:17,0.0,0.0,0.0,3.0
00:00:18,0.0,0.0,0.0,3.0
00:00:19,0.0,0.0,0.0,3.0
00:00:20,9.17,0.0,0.0,4.0
00:00:21,0.0,0.0,0.0,4.0
00:00:22,0.0,0.0,0.0,5.0
00:00:23,0.0,0.0,0.0,5.0
00:00:24,0.83,0.0,0.0,5.0
00:00:25,0.0,0.0,0.0,5.0
00:00:26,0.0,0.0,0.0,5.0
00:00:27,0.0,0.0,0.0,5.0
00:00:28,0.0,0.0,0.0,5.0
00:00:29,0.0,0.0,0.0,6.0
00:00:30,9.17,8.33,8.33,6.0
00:00:31,9.17,4.17,4.17,6.0
00:00:32,9.17,4.17,3.33,6.0
00:00:33,9.17,3.33,3.33,7.0
00:00:34,0.0,0.83,0.83,7.0
00:00:35,0.0,0.0,0.0,8.0
00:00:36,6.67,3.33,3.33,9.0
00:00:37,2.5,0.0,0.0,9.0
00:00:38,2.5,0.0,0.0,9.0
00:00:39,2.5,0.0,0.0,9.0
00:00:40,0.0,0.0,0.0,10.0
00:00:41,0.0,0.0,0.0,10.0
00:00:42,0.0,0.0,0.0,10.0
00:00:43,0.0,0.0,0.0,10.0
00:00:44,0.0,0.0,0.0,10.0
00:00:45,1.67,0.0,0.0,10.0
00:00:46,1.67,0.0,0.0,10.0
00:00:47,1.67,0.0,0.0,10.0
00:00:48,0.0,0.0,0.0,11.0
00:00:49,0.0,0.0,0.0,11.0
00:00:50,0.83,0.0,0.0,11.0
00:00:51,2.08,0.0,0.0,11.0
00:00:52,0.0,0.0,0.0,11.0
00:00:53,0.0,0.0,0.0,11.0
00:00:54,0.0,0.0,0.0,11.0
00:00:55,0.0,0.0,0.0,11.0
00:00:56,0.0,0.0,0.0,11.0
00:00:57,0.0,0.0,0.0,11.0
00:00:58,0.0,0.0,0.0,12.0
00:00:59,7.5,6.67,6.67,12.0
00:01:00,7.5,5.83,5.0,12.0
00:01:01,7.5,5.0,5.0,12.0
00:01:02,10.0,0.0,0.0,12.0
00:01:03,10.0,0.0,0.0,12.0
00:01:04,15.83,0.0,0.0,12.0
00:01:05,12.5,0.0,0.0,12.0
00:01:06,10.83,0.0,0.0,13.0
00:01:07,10.0,0.0,0.0,13.0
00:01:08,6.25,0.0,0.0,13.0
00:01:09,2.5,0.0,0.0,13.0
00:01:10,2.5,0.0,0.0,14.0
00:01:11,1.67,0.0,0.0,14.0
00:01:12,0.0,0.0,0.0,14.0
00:01:13,0.0,0.0,0.0,14.0
00:01:14,0.0,0.0,0.0,15.0
00:01:15,6.67,5.83,5.83,15.0
00:01:16,6.67,0.0,0.0,15.0
00:01:17,6.67,0.0,0.0,15.0
00:01:18,6.67,0.0,0.0,15.0
00:01:19,6.67,0.0,0.0,15.0
00:01:20,14.17,0.0,0.0,15.0
00:01:21,14.17,0.0,0.0,16.0
00:01:22,20.83,7.5,7.5,16.0
00:01:23,16.25,6.67,6.67,17.0
00:01:24,19.17,15.0,15.0,17.0
00:01:25,15.0,14.17,14.17,17.0
00:01:26,7.5,14.17,14.17,17.0
00:01:27,2.5,14.17,14.17,17.0
00:01:28,0.0,14.17,14.17,17.0
00:01:29,0.0,14.17,14.17,17.0
00:01:30,0.0,6.67,6.67,18.0
00:01:31,8.33,13.33,13.33,18.0
00:01:32,8.33,0.0,0.0,18.0
00:01:33,8.33,0.0,0.0,18.0
00:01:34,8.33,0.0,0.0,18.0
00:01:35,8.33,0.0,0.0,18.0
00:01:36,7.5,0.0,0.0,19.0
00:01:37,16.67,10.0,10.0,19.0
00:01:38,11.67,9.17,6.67,19.0
00:01:39,8.75,0.83,0.83,20.0
00:01:40,0.0,,0.0,20.0
